,algorithm,dimension,iterations,time
566,jacobi,8,88,0.003998000000002833
567,jacobi,8,91,0.004173999999999012
568,jacobi,8,84,0.00399099999999919
569,jacobi,8,84,0.0039039999999985753
570,jacobi,8,86,0.004148999999998182
571,jacobi,8,87,0.003997999999995727
572,jacobi,8,88,0.004048999999994862
573,jacobi,8,90,0.004129999999996414
574,jacobi,8,90,0.004111000000001752
575,jacobi,8,83,0.003837999999994679
576,jacobi,8,87,0.003998000000002833
577,jacobi,8,81,0.0037570000000002324
578,jacobi,8,86,0.00396700000000294
579,jacobi,8,82,0.003793999999999187
580,jacobi,8,82,0.004035999999999262
581,jacobi,8,85,0.0039279999999948245
582,jacobi,8,84,0.003847000000000378
583,jacobi,8,82,0.0037779999999969505
584,jacobi,8,84,0.0040170000000046
585,jacobi,8,83,0.0038350000000022533
586,jacobi,8,87,0.003985000000000127
587,jacobi,8,89,0.004089999999997929
588,jacobi,8,86,0.003955999999995186
589,jacobi,8,89,0.007381999999999778
590,jacobi,8,86,0.006751000000001284
591,jacobi,8,89,0.004139000000002113
592,jacobi,8,86,0.004078999999997279
593,jacobi,8,89,0.0041379999999975325
594,jacobi,8,77,0.0035489999999995803
595,jacobi,8,92,0.004260000000002151
596,jacobi,8,88,0.0040429999999958
597,jacobi,8,87,0.0040250000000057184
598,jacobi,8,80,0.0036780000000007362
599,jacobi,8,86,0.004022000000006187
600,jacobi,9,110,0.0052629999999993515
601,jacobi,9,111,0.005116000000001009
602,jacobi,9,116,0.0053109999999989554
603,jacobi,9,117,0.005383000000001914
604,jacobi,9,114,0.005213000000004797
605,jacobi,9,112,0.005306000000004474
606,jacobi,9,114,0.01193699999999609
607,jacobi,9,114,0.00524599999999964
608,jacobi,9,110,0.0052400000000005775
609,jacobi,9,110,0.005069999999996355
610,jacobi,9,112,0.005254000000000758
611,jacobi,9,113,0.005188999999994337
612,jacobi,9,110,0.0052809999999965385
613,jacobi,9,112,0.005199999999994986
614,jacobi,9,114,0.011296000000001527
615,jacobi,9,109,0.005045000000002631
616,jacobi,9,116,0.00542499999999535
617,jacobi,9,113,0.009677999999993858
618,jacobi,9,117,0.007460999999999274
619,jacobi,9,112,0.005175000000001262
620,jacobi,9,112,0.0055649999999971556
621,jacobi,9,113,0.005160000000003606
622,jacobi,9,111,0.005071000000000936
623,jacobi,9,114,0.005250000000003752
624,jacobi,9,113,0.012693999999996208
625,jacobi,9,110,0.008875000000003297
626,jacobi,9,105,0.005845000000000766
627,jacobi,9,116,0.005395999999997514
628,jacobi,9,114,0.007573999999998193
629,jacobi,9,111,0.005116000000001009
630,jacobi,9,115,0.005659999999998888
631,jacobi,9,116,0.005465999999998417
632,jacobi,9,119,0.005428000000001987
633,jacobi,9,115,0.0052809999999965385
634,jacobi,9,114,0.005330999999998198
635,jacobi,9,111,0.005101999999993723
636,jacobi,9,118,0.005398999999997045
637,jacobi,9,107,0.0049559999999999604
638,jacobi,9,113,0.005162999999996032
639,jacobi,9,111,0.005134999999995671
640,jacobi,9,114,0.005302999999997837
641,jacobi,9,118,0.0054100000000048
642,jacobi,9,110,0.005043000000000575
643,jacobi,9,115,0.00527100000000047
644,jacobi,9,113,0.005161000000001081
645,jacobi,9,116,0.005327999999998667
646,jacobi,9,113,0.00514500000000595
647,jacobi,9,114,0.005213000000004797
648,jacobi,9,110,0.005093000000002235
649,jacobi,9,110,0.0051660000000026685
650,jacobi,9,110,0.005394000000002563
651,jacobi,9,111,0.005112999999994372
652,jacobi,9,111,0.005071000000000936
653,jacobi,9,110,0.005048999999999637
654,jacobi,9,109,0.011996000000003448
655,jacobi,9,112,0.005178000000000793
656,jacobi,9,117,0.005463999999996361
657,jacobi,9,106,0.004905999999998301
658,jacobi,9,110,0.005064000000004398
659,jacobi,9,110,0.005087000000003172
660,jacobi,9,113,0.005603999999998166
661,jacobi,9,114,0.00525899999999524
662,jacobi,9,112,0.005122000000000071
663,jacobi,9,105,0.004857999999998697
664,jacobi,9,114,0.005206999999998629
665,jacobi,9,114,0.005250000000003752
666,jacobi,9,116,0.005321999999999605
667,jacobi,9,104,0.004793999999996856
668,jacobi,9,111,0.005102999999998303
669,jacobi,9,111,0.005091000000000179
670,jacobi,9,111,0.009280999999994322
671,jacobi,9,115,0.005350999999997441
672,jacobi,9,115,0.005343000000003428
673,jacobi,9,113,0.005403000000001157
674,jacobi,9,109,0.0050490000000067425
675,jacobi,9,109,0.005015000000000214
676,jacobi,9,116,0.005341000000001372
